,,Result Mean,Result Lower Bound,Result Upper Bound,Effect Size,Effect Upper Bound,Effect Lower Bound,Effect P Value
"('caveman', 'indep')",confidence,56.075477009517265,54.52269676642588,57.65939605549822,0.6819739708748995,3.3783693670450634,-1.5054203073042072,0.32267292888226845
"('caveman', 'indep')",consensus,57.64748595344569,56.113826625387006,59.246244209379654,1.7551513587891305,3.957549707602339,-0.3640964912280688,0.0868612596093489
"('caveman', 'indep')",net spoke 5% similarity,-0.11519870232041732,-0.13145095862903555,-0.09981975994312646,-0.03354973277386341,-0.015665338638946702,-0.05356721911727048,0.004316467442212959
"('caveman', 'indep')",net spoke 95% similarity,0.2533228569347937,0.22975876707572643,0.27727177805626996,0.15715096368096487,0.1857783752292427,0.12585767902208633,1.170606134956312e-09
"('caveman', 'indep')",net spoke PC1,0.19010972473259907,0.1746412826621796,0.20567496172176672,0.13663029123603448,0.15877096258190543,0.11502508497182454,2.0748566877838096e-11
"('caveman', 'indep')",spoke 5% similarity,-0.27129136945691035,-0.30136148857640904,-0.23979507815818848,-0.1136273804995618,-0.07164036222786974,-0.15611788855243453,6.620323702446612e-05
"('caveman', 'indep')",spoke 95% similarity,0.8039063588128178,0.7878823755894611,0.819419517727848,0.11573633022020707,0.13911565226474015,0.094197686528074,2.0944328894558012e-09
"('caveman', 'indep')",spoke PC1,0.38768063345255954,0.37261387560793535,0.4029587320076868,0.09161623877825598,0.1107468552721553,0.07268267503331703,1.8673674897590724e-08
"('caveman', 'indep')",survey 5% similarity,-0.4976048323994304,-0.5233604775866605,-0.47074574538877956,-0.08875040366255847,-0.05734899243527622,-0.12356287770610808,6.348413598573914e-05
"('caveman', 'indep')",survey 95% similarity,0.6898413258231973,0.6700100635656925,0.7094502383798931,0.021476882584025008,0.05051885092584699,-0.009893992836003859,0.12300622425355476
"('caveman', 'indep')",survey PC1,0.3801867401087768,0.3624735710251269,0.40024246110440526,0.07212037578671482,0.09772791446264248,0.04814201186961548,2.319297624545616e-05
"('caveman', 'inter')",confidence,59.13060428849901,57.61179044834308,60.633186647173474,3.737101249856667,6.34561291709666,1.3570331097351216,0.011963242983123413
"('caveman', 'inter')",consensus,56.93103313840156,55.305269493177384,58.5796306042885,1.0386985437449843,3.3022396800825597,-1.1845783167067991,0.23084080263936985
"('caveman', 'inter')",net spoke 5% similarity,-0.11178708091056119,-0.12707830470395454,-0.0960107327421639,-0.030138111364007257,-0.010220761321651577,-0.048769571532914356,0.010023192690174305
"('caveman', 'inter')",net spoke 95% similarity,0.25533497129119814,0.23335267390186443,0.27734630883005557,0.15916307803736934,0.18333565133372723,0.13375296117628915,1.5143911716616587e-11
"('caveman', 'inter')",net spoke PC1,0.19403999045232037,0.1771672335749732,0.21119698375651463,0.14056055695575584,0.16115639045153293,0.12069022554823873,2.7977119784767723e-12
"('caveman', 'inter')",spoke 5% similarity,-0.30302756710753387,-0.3293620707447843,-0.27110369662818307,-0.1453635781501853,-0.11114868092628306,-0.1799426523943084,8.120112539858834e-08
"('caveman', 'inter')",spoke 95% similarity,0.7773176425560291,0.7594508247233369,0.7950172336943425,0.08914761396341833,0.11020039505864951,0.06817654715624116,7.135142331512163e-08
"('caveman', 'inter')",spoke PC1,0.39187389944864925,0.37479548762745735,0.4108001679761749,0.09580950477434567,0.12181219860179134,0.07220269421857368,1.839114625180834e-07
"('caveman', 'inter')",survey 5% similarity,-0.4915531845428561,-0.5238784660174296,-0.4573512782373304,-0.08269875580598438,-0.04024511614516114,-0.12118393233573063,0.0014791746576867766
"('caveman', 'inter')",survey 95% similarity,0.7042487908965804,0.6805038692260529,0.7289302077558143,0.035884347657408,0.05810663844592133,0.014808080975467444,0.005817627419345298
"('caveman', 'inter')",survey PC1,0.3626171701389263,0.34611752909389437,0.3805861577281517,0.054550805816864424,0.0763351844429419,0.031102268912448383,0.00034628378102637586
"('dodec', 'indep')",confidence,55.39350303864235,53.366473397546144,57.28073606811145,0.0,0.0,0.0,
"('dodec', 'indep')",consensus,55.89233459465658,54.15464189886481,57.55022884416924,0.0,0.0,0.0,
"('dodec', 'indep')",net spoke 5% similarity,-0.08164896954655393,-0.09359292555130343,-0.06906182968504436,0.0,0.0,0.0,
"('dodec', 'indep')",net spoke 95% similarity,0.09617189325382887,0.08082297907262362,0.11202393038369447,0.0,0.0,0.0,
"('dodec', 'indep')",net spoke PC1,0.053479433496564525,0.042748815819781495,0.06481905387580997,0.0,0.0,0.0,
"('dodec', 'indep')",spoke 5% similarity,-0.15766398895734868,-0.18656162364064086,-0.12484909309652831,0.0,0.0,0.0,
"('dodec', 'indep')",spoke 95% similarity,0.6881700285926107,0.6711728416465597,0.7045694298957701,0.0,0.0,0.0,
"('dodec', 'indep')",spoke PC1,0.29606439467430357,0.281488843849361,0.3093880338251442,0.0,0.0,0.0,
"('dodec', 'indep')",survey 5% similarity,-0.4088544287368719,-0.43291736293143007,-0.38504322106742783,0.0,0.0,0.0,
"('dodec', 'indep')",survey 95% similarity,0.6683644432391722,0.6487505710219337,0.689817845793513,0.0,0.0,0.0,
"('dodec', 'indep')",survey PC1,0.30806636432206186,0.2927442741484676,0.32439975292119877,0.0,0.0,0.0,
"('dodec', 'inter')",confidence,57.56182504873295,55.07490521442496,59.93840460526315,2.1683220100905864,4.3359197626418995,0.2010129930627229,0.04513817559075827
"('dodec', 'inter')",consensus,55.26843079922027,53.108789961013656,57.134646686159854,-0.623903795436302,1.3479572010090586,-2.7291741199403727,0.3110859487761396
"('dodec', 'inter')",net spoke 5% similarity,-0.0712217428588156,-0.08975039441488063,-0.05616654674501184,0.010427226687738312,0.03166912111012945,-0.012293172209238798,0.21734947998449788
"('dodec', 'inter')",net spoke 95% similarity,0.12191371475714631,0.10435505809669382,0.1402708177961429,0.02574182150331746,0.04456383953105007,0.008312328992373216,0.014972052243324041
"('dodec', 'inter')",net spoke PC1,0.07482063799808471,0.061363722556563645,0.09252143384026693,0.021341204501520182,0.037211760501110386,0.006062571691010964,0.016347384165701914
"('dodec', 'inter')",spoke 5% similarity,-0.215429031122592,-0.24312013082046238,-0.18893798757439983,-0.05776504216524336,-0.022882706626412397,-0.09126648290154728,0.00459607157090697
"('dodec', 'inter')",spoke 95% similarity,0.6721970520345517,0.6498776959055174,0.6959650364302729,-0.015972976558058984,0.009608158206782003,-0.042962886432198116,0.16796772087286
"('dodec', 'inter')",spoke PC1,0.29258211333836753,0.27611001798021806,0.30916393775618284,-0.0034822813359360783,0.017070112570014517,-0.02399502230868485,0.38957264433112604
"('dodec', 'inter')",survey 5% similarity,-0.44298001632714507,-0.46403796297804284,-0.4222329212551187,-0.03412558759027329,0.0015316789438723714,-0.06669699272372219,0.05834384389201774
"('dodec', 'inter')",survey 95% similarity,0.6644785923339745,0.6419744724433613,0.6852563722507568,-0.003885850905197939,0.022675174546029766,-0.030973104134628334,0.41370021642186966
"('dodec', 'inter')",survey PC1,0.33615152961179473,0.3203887753289426,0.353002628829352,0.02808516528973281,0.050295153523412926,0.005726157856174453,0.021664809340161933
