"","exp(coef)","exp(-coef)","lower .95","upper .95","coef","se(coef)","se2","Chisq","DF","p","means"
"in_close",0.688701495448111,1.45200788238356,0.31214242840532,1.51952988978662,-0.372947345026683,0.403756576780973,0.403524543382129,0.853209771035629,1,0.355645892167586,0.159023380613774
"in_peak",0.667323220947094,1.49852420627707,0.279699029655058,1.59214095867405,-0.404480761315828,0.443661410902488,0.443568751823174,0.831174914542235,1,0.361933010120708,0.264638888740712
"in_startup",0.242254743534586,4.12788614748934,0.00363442657271393,16.147625929662,-1.41776544724885,2.14266104784469,2.14238095686008,0.437826280656701,1,0.50817348731062,0.00743079967780309
"in_tail",NA,NA,NA,NA,NA,0,0,NA,1,NA,0.568906930967711
"is_in_deads",0.0860156072008904,11.625797137774,0.0757743851449308,0.0976409728430878,-2.45322652011384,0.0646789691942923,0.0635529392669828,1438.63003200877,1,8.47465333004791e-315,0.226039271749625
"n_existing_leads",1.06260832616798,0.941080523626465,1.05638032716758,1.06887304297781,0.0607265706599225,0.00299918363858735,0.00256361798158064,409.96935665233,1,3.72217459792405e-91,11.5020083963235
"n_exposures",1.45637474892648,0.686636458601825,1.38340725296781,1.53319089860231,0.37595029916175,0.0262253896194002,0.0243067940213692,205.502434630133,1,1.31569937864968e-46,1.25276454553699
"n_rim_connections",1.5487353097858,0.64568812609968,1.51525519386213,1.58295518107663,0.437438668709321,0.0111506126194798,0.0108649002657171,1538.99385446553,1,0,0.952230573499837
"n_triangle_paths",1.04425817332803,0.957617594519769,1.00414434621404,1.08597447834453,0.0433067513485089,0.0199855556492395,0.0194763685214685,4.6954666284537,1,0.0302422860595504,0.263022569787105
"t_is_in_deads",1.69998307349196,0.588241151099159,1.42934265206824,2.02186819652899,0.530618294243169,0.088472870366251,0.0868296521156427,35.970311874144,1,2.00346938939698e-09,0.106303643919067
"t_n_exposures",0.924392168604963,1.08179194281702,0.868700929005363,0.983653698122051,-0.0786188724860767,0.0317033865421251,0.0252093115782012,6.14953546512932,1,0.0131446623023003,0.593967876327595
"t_n_rim_connections",0.831331001547307,1.20289030258556,0.806990226983286,0.856405952668325,-0.18472724628913,0.0151617453363971,0.0145439536446441,148.444296915002,1,3.79324472028804e-34,0.621391954679057
