"","n_shared_edges","n_triangle"
"GT_2RErnuyZ5YmzTzpxh_1",-0.00605421439706421,-0.0200954209943771
"GT_55mC2NYGpS5sYb46x_0",0.0780057688343345,1.03836264670614
"GT_55mC2NYGpS5sYb46x_1",0.122119553089009,0.436664848607486
"GT_7c9biMCakuPCxMEXN_0",-0.0368884966218487,-0.324568519483316
"GT_7c9biMCakuPCxMEXN_1",0.0299379573447569,0.379122193534284
"GT_7kcXpJaQqJmx68nYz_0",0.00926258985993971,0.480248191335937
"GT_7kcXpJaQqJmx68nYz_1",-0.0416332517520921,-0.0234218197310329
"GT_9oijjTA5XEFzCtedK_0",0.0473424996350788,0.465996399975056
"GT_9oijjTA5XEFzCtedK_1",0.137895366403647,0.415711068085055
"GT_aS5rH5N5tnRsr3CQQ_0",-0.0458617232851345,0.0201865480861385
"GT_aS5rH5N5tnRsr3CQQ_1",-0.0392425055440924,-0.204214439715415
"GT_b4CBPunda96KnrhFi_0",0.100785920008173,0.297746546798818
"GT_b4CBPunda96KnrhFi_1",0.085832671378055,0.306959471426969
"GT_BfWPcLgXY7dKcAsdX_0",-0.0333199259783445,0.292804370447003
"GT_BfWPcLgXY7dKcAsdX_1",-0.0705772928324644,-0.158881459737715
"GT_BfyZ5JjRKWhdjS7qy_0",0.0522390441777613,0.911906601739177
"GT_BfyZ5JjRKWhdjS7qy_1",0.0145481968783317,-0.0144531159450513
"GT_BhccgcKQe7bpH7pWi_0",0.013465506695978,0.62803036099172
"GT_BhccgcKQe7bpH7pWi_1",-0.0748822810854441,-0.169292915904407
"GT_c2BKscFKSBaujzQHw_0",-0.0144128588494022,-0.0332389964795567
"GT_c2BKscFKSBaujzQHw_1",-0.0500428453248558,-0.128273314767149
"GT_d2N6gipGzAM2B3GPn_0",-0.00118914203312274,0.107417882642898
"GT_d2N6gipGzAM2B3GPn_1",-0.0723118879216236,-0.174692313658326
"GT_dC7qKt8rhj8W3FFTC_0",-0.0336679765657903,-0.413252822968272
"GT_dC7qKt8rhj8W3FFTC_1",-0.0206673764146891,0.0577426706098692
"GT_dW6HD8ba9gXHqoWL8_0",0.0698560426454817,-0.427616411859107
"GT_dW6HD8ba9gXHqoWL8_1",-0.0882847027388956,-0.215105944723228
"GT_e6Kq4iEPeKDdJ3wyk_0",-0.0304202889093973,-0.0737043253215346
"GT_e6Kq4iEPeKDdJ3wyk_1",-0.0886273186893779,-0.202681776662161
"GT_EFdcytJKJJAgFebvR_0",0.0262839694692309,0.940235811306462
"GT_EFdcytJKJJAgFebvR_1",-0.0258721453956423,0.127263330472951
"GT_ETYJ4Ru9uE3Fszkkr_0",-0.0561282941042514,NA
"GT_ETYJ4Ru9uE3Fszkkr_1",-0.0274905154281044,0.0444436617082796
"GT_ew8uue7goY6SzSnMn_0",0.0634014468711027,0.659707170305349
"GT_ew8uue7goY6SzSnMn_1",0.0659082299334189,0.213466387950132
"GT_F6g9NDczqP966pA5m_0",-0.0419671420013361,-0.101510716146337
"GT_F6g9NDczqP966pA5m_1",-0.0758896707709453,-0.26228711004148
"GT_hE8iDmuY7wvbgTTRB_0",-0.00951385468664459,-0.249677252662035
"GT_hE8iDmuY7wvbgTTRB_1",-0.028315556582128,0.175827524484943
"GT_hjTbDvCzT2RW9pgm8_0",0.0204789171172351,0.854392294526731
"GT_hjTbDvCzT2RW9pgm8_1",-0.136218735951858,-0.332189313196597
"GT_HXeLe9DnXEMs6JFjf_0",0.0858262051778013,1.29400392343234
"GT_HXeLe9DnXEMs6JFjf_1",0.138281511191572,0.000210983751322641
"GT_ig8z4GCN3uW4nFT54_0",-0.0217410675580212,0.494835560798997
"GT_ig8z4GCN3uW4nFT54_1",0.0621607967337963,0.365418241569408
"GT_j5d27JCC2rTDBr4Yq_0",0.0569894890890136,0.283868947244128
"GT_j5d27JCC2rTDBr4Yq_1",0.0908081468402142,0.26003701765192
"GT_jcfFiGC22Api8cm7o_0",0.0760057106747075,0.484319492149218
"GT_jcfFiGC22Api8cm7o_1",0.0171292594368313,0.0699995444699331
"GT_KC4EWWmEew2eiQFcQ_0",0.0215110725907119,0.442294362213821
"GT_KC4EWWmEew2eiQFcQ_1",0.0745782824821885,0.347282338611351
"GT_KtFjB6pDKRispFwCs_0",0.00140504334126999,0.271356106700617
"GT_KtFjB6pDKRispFwCs_1",-0.0495370328940967,0.323676191236523
"GT_L44rB9SbzauAEuMGe_0",0.0912800204212978,1.51651748222685
"GT_L44rB9SbzauAEuMGe_1",0.014736537647139,-0.0230116123715577
"GT_Lj2up2ePZA6WtiK4q_0",0.0111881325609689,-0.0992565260248035
"GT_Lj2up2ePZA6WtiK4q_1",-0.0253694066691174,0.020859341817166
"GT_MfjKnfErfu8AMLKps_0",0.00885264002049898,0.123851134595136
"GT_MfjKnfErfu8AMLKps_1",-0.138188470166345,-0.259227610517968
"GT_mSJbtZFsaaWC3ANqy_0",0.138847174985087,2.26322280079691
"GT_mSJbtZFsaaWC3ANqy_1",0.0594103886043604,1.12080348252876
"GT_mYHZ32AyKCmNrfSY5_0",-0.00996368166501251,-0.274667197237053
"GT_mYHZ32AyKCmNrfSY5_1",-0.00517349264664721,-1.1735099733366
"GT_nkPob7gypQi6DtwqS_0",0.0401174736429988,0.658125284395007
"GT_nkPob7gypQi6DtwqS_1",0.0773229267456346,0.168887522812041
"GT_NkvLcmxvQY36f759u_0",0.059566535135951,1.16078741442886
"GT_NkvLcmxvQY36f759u_1",0.090195700482879,0.125524474618253
"GT_NNqcb487RHAbLvNso_0",0.0465239077912117,0.448927076537648
"GT_NNqcb487RHAbLvNso_1",-0.0352466408435667,-0.00871115898963405
"GT_nyj44mrAdH9BGGSnK_0",-0.00440242153172858,0.183823371091797
"GT_nyj44mrAdH9BGGSnK_1",0.0225170149522899,0.126977072487453
"GT_oWf8QrmFrj8ZiE6JK_0",0.0787372399987768,1.15522878924495
"GT_oWf8QrmFrj8ZiE6JK_1",0.0442857603006339,0.969339242606898
"GT_PRBmQFw8WDcrNi2Qn_0",0.120348091246481,1.24750382594793
"GT_PRBmQFw8WDcrNi2Qn_1",0.106973821858515,0.492447792248396
"GT_qQyhQa275SKLzM3X9_0",0.115983735035203,0.633932272250141
"GT_qQyhQa275SKLzM3X9_1",0.0191237294313084,0.251315678426969
"GT_R5JmsFyk7arzZrwiE_0",-0.00102764286982253,0.242578196043372
"GT_R5JmsFyk7arzZrwiE_1",0.00375090020361906,0.0315907036851467
"GT_RLNbvyv9ipkrkPJKc_0",0.240030152912236,1.43221472652171
"GT_RLNbvyv9ipkrkPJKc_1",0.197705536626296,0.0561381533252478
"GT_rtzgQPuxzH7dGbna4_0",-0.0517141040708692,0.130670703024645
"GT_rtzgQPuxzH7dGbna4_1",-0.059175412535304,-0.141309319711587
"GT_RugWRCuQ9MounHF8x_0",-0.047512987340298,0.0146409353924333
"GT_RugWRCuQ9MounHF8x_1",-0.0324161304014144,-0.308472604288447
"GT_SamzHPveTXj44MS6F_0",-0.0033171407777727,0.158437638544833
"GT_SamzHPveTXj44MS6F_1",-0.0801287119526549,-0.286326032264738
"GT_sKStjcTJvnnofxCgB_0",0.0604986443871166,-0.0725295486865796
"GT_sKStjcTJvnnofxCgB_1",0.0733604930943255,0.394365732019591
"GT_szPuQL8WF5prJP9s7_0",0.108579894300891,0.556373781985477
"GT_szPuQL8WF5prJP9s7_1",0.103457555234241,1.14281850358552
"GT_T9KCzCFiibi6W5mnL_0",-0.0157076081815571,0.850794364813997
"GT_T9KCzCFiibi6W5mnL_1",-0.0357608165442633,0.0564250793303656
"GT_TCrgRvccdKGHeDvdW_0",-0.034728675259511,0.149800687298276
"GT_TCrgRvccdKGHeDvdW_1",0.0239678357656487,0.172946667784441
"GT_To5RB7JuNk4h5FHaZ_0",0.219175668418824,1.07407633992389
"GT_To5RB7JuNk4h5FHaZ_1",0.0496622897663308,0.106541978384801
"GT_W3Pr3tyHAoPsyoZxh_0",0.0220947996248717,0.503553291144143
"GT_W3Pr3tyHAoPsyoZxh_1",-0.0963047868337359,-0.0247472850561768
"GT_W4EAr6TwRFApoCagP_0",0.0928647989807305,0.247292284961828
"GT_W4EAr6TwRFApoCagP_1",0.0236314156065635,0.112486853921248
"GT_W7ZjgcCnPfhq8eYnp_0",0.0885218102425875,0.488751478682924
"GT_W7ZjgcCnPfhq8eYnp_1",0.0814226538545661,0.482390211029307
"GT_wx5E4WNYAzhggxxNt_0",0.0471791057584527,0.186131236106037
"GT_wx5E4WNYAzhggxxNt_1",0.100542302878245,0.519092691137404
"GT_xNo5TvYuoLwYHcgHv_0",0.0684280988792863,NA
"GT_xNo5TvYuoLwYHcgHv_1",0.0998415250414529,0.408410987224871
"GT_yAmdFLN5XZJ6SxeKL_0",-0.0209218656150128,-0.330918270146078
"GT_yAmdFLN5XZJ6SxeKL_1",0.0774419923090715,0.422793561762224
"GT_yBcW7BjFe59HDfshF_0",-0.0381578549733112,-0.10804007359986
"GT_yBcW7BjFe59HDfshF_1",-0.0644346258111523,-0.143319213653084
"GT_yGuanMgCM54YkTWBP_0",0.139252979005549,0.397910880384376
"GT_yGuanMgCM54YkTWBP_1",0.137279645092327,0.703244098191689
"GT_Zae6heWeMutojmXft_0",0.0897556203138511,1.13639399120705
"GT_Zae6heWeMutojmXft_1",0.00449312001613466,0.405263827449959
"GT_zg5puDzKGCxk7wAj2_0",0.0670840251067149,0.494620834199087
"GT_zg5puDzKGCxk7wAj2_1",0.057685258246919,0.204527377188895
"GT_Zxhtd5NFdLyNExLtN_0",-0.0241678200211967,-0.442144431268651
"GT_Zxhtd5NFdLyNExLtN_1",-0.0278841278058276,-0.0199663987772066
