"","exp(coef)","exp(-coef)","lower .95","upper .95","coef","se(coef)","se2","Chisq","DF","p","means"
"in_close",0.66754785544558,1.49801994245418,0.3009427297167,1.48074731604079,-0.404144197726162,0.406482520911728,0.406311242778363,0.988527932345821,1,0.320102427016164,0.159023380613774
"in_peak",0.660766798474974,1.51339323087656,0.277656785062115,1.57249087887116,-0.414354302476262,0.442362828343228,0.442273125017357,0.87737741969387,1,0.348920990463461,0.264638888740712
"in_startup",0.235234180293502,4.25108289429834,0.0034886043777749,15.8616780770223,-1.44717374913909,2.1485495644707,2.14825701011984,0.453681007351785,1,0.500592066336518,0.00743079967780309
"in_tail",NA,NA,NA,NA,NA,0,0,NA,1,NA,0.568906930967711
"is_in_deads",0.0662733772483039,15.0890152504729,0.0584052639605037,0.0752014499046898,-2.71396701223237,0.064481921945767,0.0633715796614458,1771.46747164465,1,0,0.226039271749625
"n_existing_leads",1.10988738573042,0.900992310442287,1.10258984284129,1.11723322775142,0.104258555880487,0.00336574590569931,0.00293870798837574,959.534861124172,1,1.12230411785546e-210,11.5020083963235
"n_exposures",1.5151877253055,0.659984227233871,1.43205975631894,1.60314109295112,0.415539342377729,0.0287890725962262,0.0270120141486763,208.338218685679,1,3.1653817386317e-47,1.25276454553699
"n_shared_edges",1.00296599051178,0.997042780572984,0.994208886178209,1.01180022841091,0.00296160063999006,0.00447434139196126,0.0042718621120892,0.438121690955113,1,0.508030431103901,5.31171484506276
"t_is_in_deads",1.95704784046695,0.510973712201844,1.64477518308301,2.32860775701713,0.67143713393372,0.0886921531447324,0.087056476255007,57.3113074456861,1,3.72010307686754e-14,0.106303643919067
"t_n_exposures",1.00695624057226,0.993091814428493,0.939216670552965,1.07958142377355,0.00693215755116664,0.0355318967232791,0.0292363244461914,0.0380627416312605,1,0.845317207276834,0.593967876327595
"t_n_shared_edges",0.973165426749066,1.02757452383052,0.961794053650618,0.984671244561175,-0.0272011940335808,0.00599691562627127,0.00569875197674778,20.5740627307494,1,5.73681257466591e-06,2.01885172007276
