"","exp(coef)","exp(-coef)","lower .95","upper .95","coef","se(coef)","se2","Chisq","DF","p","means"
"in_close",NA,NA,NA,NA,NA,0,0,NA,1,NA,0.148979591836735
"in_peak",157043319633.612,6.36766977629507e-12,1.31089117057084e-19,1.88136168701214e+41,25.7797875254687,35.3364641645721,35.3364010363897,0.532246096807513,1,0.465664081549675,0.269147659063625
"in_startup",NA,NA,NA,NA,NA,0,0,NA,1,NA,0.00332132853141257
"in_tail",NA,NA,NA,NA,NA,0,0,NA,1,NA,0.578551420568227
"is_in_deads",0.151017964183121,6.62172878179861,0.109311874230282,0.208636304761998,-1.89035648114322,0.164897810480257,0.162329500184408,131.418844108695,1,2.00506196565678e-30,0.177751100440176
"n_existing_leads",1.07266263258145,0.932259565706522,1.05416033527775,1.09148967650487,0.0701439990946245,0.00887742832266731,0.00745666984873925,62.4319207114164,1,2.75816246049435e-15,11.1298919567827
"n_exposures",1.64985062010688,0.606115479676105,1.44528096634593,1.88337571174762,0.500684750545547,0.0675425714700031,0.0626873735738107,54.9507401435202,1,1.2358883363791e-13,1.2374549819928
"n_rim_connections",1.59224194029608,0.628045257879623,1.49962812107805,1.69057539052768,0.46514304842332,0.0305749956663543,0.0296882315885038,231.440980903848,1,2.89129798990656e-52,0.859743897559024
"n_triangle_paths",1.05964236087037,0.943714631395651,0.948542695839719,1.18375476177898,0.0579314557880303,0.0565112079700675,0.054837614373031,1.05089591272173,1,0.305300840334329,0.265666266506603
"t_is_in_deads",0.699003891590375,1.43060719980371,0.422717394309829,1.15587020320334,-0.35809896939562,0.256613109395419,0.252761423309491,1.9473699500067,1,0.162870545786504,0.0895558223289316
"t_n_exposures",0.890928393899544,1.12242466044107,0.759325461432688,1.04534016488631,-0.115491220734625,0.0815492381904562,0.0647202790425225,2.00566375818779,1,0.15671268613579,0.591796718687475
"t_n_rim_connections",0.824228623947737,1.21325560766185,0.759763291985233,0.894163789829403,-0.193307331309279,0.0415523047679114,0.0398371380376511,21.6424496179348,1,3.28500546405014e-06,0.573269307723089
